,Libelle1,voie,CP,Ville,surface,lat,long
456,Bibliotheque Municipale,126 Route de la Ruaz,73220,Aiton,95.0,45.562918,6.249695
457,Bibliotheque Association Terre Des Allues,201 chemin du Pre Lamarque,73550,Les Allues,165.0,45.428295,6.556378
459,Bibliotheque Relais Alp'pages,9 RUE DE L'ARTISANAT,73500,Aussois,25.0,45.227629,6.740867
460,Bibliotheque Les Mille Feuillets,SQUARE DE LA MAIRIE,73230,Barby,170.0,45.571142,5.977871
461,Bibliotheque Municipale,chef-lieu,73340,Bellecombe-en-Bauges,85.0,45.736772,6.141133
464,Bibliotheque Municipale,91 B ROUTE DEPARTEMENTALE,73350,Champagny-en-Vanoise,50.0,45.456113,6.699816
466,Bibliotheque Municipale,433 route de la mairie,73610,Dullin,40.0,45.553405,5.743601
467,Bibliotheque Municipale,1 place de la mairie,73200,Gilly-sur-Isere,225.0,45.659421,6.34873
468,Bibliotheque Municipale,92 route Saint Martin,73300,La Tour-en-Maurienne,150.0,45.299191,6.364031
469,Bibliotheque de Valezan,Mairie,73210,La Plagne Tarentaise,15.0,45.55309,6.670825
470,Bibliotheque De Marthod,1 PLACE DU 8 MAI 1945,73400,MARTHOD,25.0,45.726735,6.403878
472,Bibliotheque,route de l'ecole,73350,Montagny,38.0,45.460823,6.608317
474,Bibliotheque Municipale Robert Laude,PLACE DU CHAMP DE FOIRE,73470,NOVALAISE,136.0,45.595777,5.772256
476,Bibliotheque municipale,50 PLACE DE LA MAIRIE,73130,Saint-Avre,50.0,45.352093,6.30974
