,Caracteristique_du_site,Adresse,Code_postal,Localite,Latitude,Longitude,Numero_de_telephone
203,Agence postale communale,RUE  PRINCIPALE,36110,ROUVRES LES BOIS,"47,071391","1,656331",3631
204,Relais poste commerçant,2 RUE DU SABOTIER,36170,SACIERGES ST MARTIN,"46,49376","1,36445",3631
205,Bureau de Poste,19 PLACE DU CHAMP DE FOIRE,36800,ST GAULTIER,"46,633997","1,41805",3631
206,Agence postale communale,1 BOULEVARD RABELAIS,36500,ST GENOU,"46,93102828","1,337973038",3631
207,Relais poste commerçant,6 RUE PRINCIPALE,36190,ST PLANTAIRE,"46,456904","1,670135",3631
208,Bureau de Poste,4 PLACE DE L EGLISE,36220,TOURNON ST MARTIN,"46,734823","0,955152",3631
209,Bureau de Poste,21 RUE DE L AUDITOIRE,36600,VALENCAY,"47,159903","1,565955",3631
210,Bureau de Poste,24 BIS AVENUE DE BLOIS,36000,CHATEAUROUX,"46,817797","1,684757",3631
211,Agence postale communale,VILLAGE DE LIGARDES,32480,LIGARDES,"44,04084","0,48177",3631
212,Bureau de Poste,LIEU DIT PRAT BEZIAU,32220,LOMBEZ,"43,47487","0,913437",3631
213,Relais poste commerçant,328 RUE PIERRE DE MONTESQUIOU,32270,MARSAN,"43,6564","0,718543",3631
214,Bureau de Poste,23 RUE VICTOR HUGO,32300,MIRANDE,"43,513194","0,40485",3631
215,Bureau de Poste,RUE DE L ADOUR,32160,PLAISANCE,"43,605604","0,045581",3631
216,Agence postale communale,VILLAGE,32140,ST BLANCARD,"43,344199","0,646677",3631
217,Agence postale communale,AU VILLAGE,32400,ST GERME,"43,6806","-0,14944",3631
218,Agence postale communale,150 ROUTE DE BAYONNE,32190,ST JEAN POUTGE,"43,72863","0,38202",3631
219,Bureau de Poste,59 BOULEVARD DES CASTRES,32130,SAMATAN,"43,491582","0,929343",3631
220,Agence postale communale,9 PROMENADE DES PLATANES,32120,SARRANT,"43,7748","0,92912",3631
221,Bureau de Poste,13 AVENUE DE BORDEAUX,33510,ANDERNOS LES BAINS,"44,742791","-1,097435",3631
222,Agence postale communale,2,33390,ANGLADE,"45,209596","-0,635222",3631
223,Agence postale communale,6 PLACE CARAYON LATOUR,33640,ARBANATS,"44,675399","-0,394761",3631
224,Bureau de Poste,1 PLACE ROOSEVELT,33120,ARCACHON,"44,660292","-1,168503",3631
225,Bureau de Poste,21 AVENUE DE LA PLAGE,33740,ARES,"44,7652","-1,141205",3631
226,Agence postale communale,8 RUE DE L EGLISE,33500,ARVEYRES,"44,884595","-0,284831",3631
227,Bureau de Poste,14 AVENUE SAINT EXUPERY,33530,BASSENS,"44,902298","-0,513899",3631
228,Bureau de Poste,11 COURS DU GENERAL DE GAULLE,33430,BAZAS,"44,43177","-0,214282",3631
229,Agence postale communale,1 RUE DU 8 MAI,33340,BEGADAN,"45,355899","-0,89406",3631
230,Bureau de Poste,1 PLACE DE L EGLISE,33830,BELIN BELIET,"44,493045","-0,789009",3631
231,Bureau de Poste,58 AVENUE DU BEDAT,33700,MERIGNAC,"44,85129","-0,645705",3631
232,Bureau de Poste,5 RUE ALPHONSE DE LAMARTINE,33290,BLANQUEFORT,"44,910997","-0,631029",3631
233,Agence postale communale,15 PLACE DE LA REPUBLIQUE,33540,BLASIMON,"44,74887406","-0,075217291",3631
234,Bureau de Poste,4 PLACE DU GENERAL DE GAULLE,33360,CAMBLANES ET MEYNAC,"44,765099","-0,487898",3631
235,Relais poste commerçant,1 PLACE HENRI RENAUD,33390,CARTELEGUE,"45,1854","-0,5815",3631
236,Bureau de Poste,11 RUE DU CHATEAU,33480,CASTELNAU DE MEDOC,"45,027395","-0,80021",3631
237,Bureau de Poste,44 ROUTE NATIONALE,33490,CAUDROT,"44,577087","-0,145412",3631
238,Relais poste commerçant,PLACE DE LA REPUBLIQUE,33360,CENAC,"44,7802","-0,461833",3631
239,Bureau de Poste,PLACE DE LA REPUBLIQUE,33610,CESTAS,"44,771693","-0,702312",3631
240,Agence postale communale,20 AVENUE DE PARIS,33240,CUBZAC LES PONTS,"44,970854","-0,4536",3631
